epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2515,2.17021,6.6034,2.29475,0.07147,0.06,0.01364,0.00601,2.11264,5.46966,2.6348,0.000665333,0.000665333,0.000665333
2,176.899,2.26763,3.42302,2.49131,0.00077,0.12,0.00043,0.0002,2.73312,98.3885,3.22462,0.00131881,0.00131881,0.00131881
3,251.119,2.20354,3.27742,2.42946,0.00039,0.06,0.00021,0.00012,2.70776,189.104,3.64758,0.00195909,0.00195909,0.00195909
4,337.401,2.17887,3.0197,2.44154,0.00208,0.3,0.00141,0.00053,2.50497,4.97851,3.15082,0.0019406,0.0019406,0.0019406
5,413.697,2.1014,3.02406,2.42601,0.0039,0.56,0.00398,0.00143,2.24149,10.0436,2.83544,0.0019208,0.0019208,0.0019208
6,488.573,2.0369,2.90877,2.32821,0.00237,0.36,0.00165,0.00068,2.4636,101.975,3.07205,0.001901,0.001901,0.001901
7,563.977,2.04181,2.8349,2.29657,0.00699,0.16,0.00382,0.0013,2.34588,6.97834,2.83463,0.0018812,0.0018812,0.0018812
8,640.208,2.07848,2.78498,2.34613,0.00666,0.08,0.00254,0.00107,2.42456,13.1045,3.20371,0.0018614,0.0018614,0.0018614
9,715.867,1.98939,2.69123,2.2556,0.035,0.08,0.00934,0.00347,2.36827,3.8477,2.81252,0.0018416,0.0018416,0.0018416
10,789.623,1.9067,2.72895,2.21088,0.03618,0.08,0.02478,0.00947,2.14585,5.47334,2.58234,0.0018218,0.0018218,0.0018218
11,866.103,2.01167,2.79461,2.36367,0.20244,0.3,0.14948,0.04937,2.1543,2.68988,2.63651,0.001802,0.001802,0.001802
12,952.99,1.9627,2.71832,2.27995,0.50649,0.04,0.03845,0.0181,2.36213,3.81645,2.8835,0.0017822,0.0017822,0.0017822
13,1028.98,2.00055,2.75891,2.29337,0.19318,0.22029,0.13465,0.04858,2.20636,2.89136,2.80205,0.0017624,0.0017624,0.0017624
14,1103.93,1.92092,2.71197,2.26913,0.12153,0.05005,0.02953,0.00909,2.6268,3.70537,3.25886,0.0017426,0.0017426,0.0017426
15,1179.14,1.84943,2.68725,2.15045,0.08512,0.08,0.03873,0.01636,2.49811,3.9548,3.01514,0.0017228,0.0017228,0.0017228
16,1266.13,1.87406,2.74454,2.19522,0.27157,0.4,0.19558,0.08088,2.0701,2.63393,2.62932,0.001703,0.001703,0.001703
17,1343.19,1.90953,2.69754,2.2232,0.40169,0.24,0.21026,0.08283,2.13157,2.73665,2.66493,0.0016832,0.0016832,0.0016832
18,1419.18,1.91703,2.63925,2.2583,0.29553,0.18,0.13777,0.05068,2.23642,3.19041,2.84364,0.0016634,0.0016634,0.0016634
19,1494.16,1.89593,2.61207,2.19612,0.13106,0.06,0.04861,0.01921,2.53501,3.65996,3.16073,0.0016436,0.0016436,0.0016436
20,1568.95,1.88719,2.6372,2.23179,0.42738,0.32,0.26196,0.10406,2.05077,2.56149,2.60523,0.0016238,0.0016238,0.0016238
21,1654.16,1.796,2.7367,2.131,0.00766,0.02,0.00601,0.00261,2.11003,4.20882,2.7185,0.001604,0.001604,0.001604
22,1738.19,1.88597,2.60277,2.19595,0.14234,0.04,0.04013,0.0162,2.44008,4.49918,3.0262,0.0015842,0.0015842,0.0015842
23,1820.51,1.94544,2.65658,2.25335,0.38156,0.14,0.12905,0.05,2.24902,3.29631,2.73697,0.0015644,0.0015644,0.0015644
24,1902.11,1.87387,2.53732,2.19495,0.22324,0.10359,0.06605,0.02633,2.22638,3.57097,2.77878,0.0015446,0.0015446,0.0015446
25,1985.2,1.84013,2.61359,2.22502,0.00558,0.6,0.00669,0.00248,2.25535,6.48353,2.89772,0.0015248,0.0015248,0.0015248
26,2066.79,1.85666,2.59874,2.17452,0.09814,0.04,0.04236,0.01717,2.25069,3.65825,2.91517,0.001505,0.001505,0.001505
27,2151.63,1.80028,2.4609,2.11482,0.69559,0.02,0.01822,0.01002,2.6427,4.03351,3.50422,0.0014852,0.0014852,0.0014852
28,2233.67,1.89208,2.54038,2.16285,0.17323,0.06,0.06611,0.03139,2.50215,3.91174,3.11816,0.0014654,0.0014654,0.0014654
29,2316.66,1.77357,2.4734,2.07199,0.16793,0.06,0.05525,0.0256,2.38729,4.22975,3.05989,0.0014456,0.0014456,0.0014456
30,2402.16,1.81985,2.57344,2.13171,0.42239,0.16,0.16603,0.07017,2.31788,3.01161,2.83211,0.0014258,0.0014258,0.0014258
31,2482.85,1.80231,2.47979,2.10603,0.35042,0.34,0.24891,0.10847,1.96079,2.5002,2.56076,0.001406,0.001406,0.001406
32,2564.75,1.84932,2.43188,2.1395,0.37319,0.26,0.18852,0.07642,2.09125,2.97349,2.67959,0.0013862,0.0013862,0.0013862
33,2647.8,1.8005,2.46199,2.10767,0.0045,0.02,0.00262,0.00124,2.5546,5.22578,3.26897,0.0013664,0.0013664,0.0013664
34,2730.55,1.891,2.50538,2.16763,0.22325,0.12,0.08954,0.03486,2.25086,3.32236,2.90362,0.0013466,0.0013466,0.0013466
35,2809.95,1.7817,2.48605,2.10172,0.00357,0.22,0.00235,0.00094,2.51409,6.7589,3.27568,0.0013268,0.0013268,0.0013268
36,2889.91,1.77696,2.41611,2.10918,0.17297,0.0795,0.04131,0.015,2.2543,3.5721,2.92765,0.001307,0.001307,0.001307
37,2969.18,1.80948,2.44035,2.07988,0.00894,0.1,0.00463,0.0021,2.33173,6.13512,3.00469,0.0012872,0.0012872,0.0012872
38,3047.11,1.71678,2.41186,2.01995,0.01117,0.08,0.00873,0.00388,2.14963,4.37312,2.79616,0.0012674,0.0012674,0.0012674
39,3130.4,1.80586,2.49118,2.15334,0.00296,0.34,0.00222,0.0008,2.34311,8.41376,3.24041,0.0012476,0.0012476,0.0012476
40,3212.52,1.77029,2.45879,2.10357,0.04043,0.04,0.00668,0.00313,2.36242,4.79907,3.09018,0.0012278,0.0012278,0.0012278
41,3294.72,1.76418,2.44244,2.07712,0.35103,0.08,0.06855,0.03545,2.40337,3.96915,3.10328,0.001208,0.001208,0.001208
42,3382.23,1.76321,2.39798,2.06573,0.41512,0.04,0.02843,0.01648,2.52215,4.48335,3.30727,0.0011882,0.0011882,0.0011882
43,3462.94,1.71452,2.37624,2.01547,0.5139,0.28,0.30202,0.13874,1.96707,2.46358,2.54643,0.0011684,0.0011684,0.0011684
44,3545.71,1.73717,2.39238,2.07597,0.56469,0.1,0.09013,0.04601,2.28265,3.48302,2.93257,0.0011486,0.0011486,0.0011486
45,3631.02,1.71752,2.31708,2.059,0.36335,0.08,0.06735,0.02788,2.45474,4.28847,3.14432,0.0011288,0.0011288,0.0011288
46,3715.04,1.70557,2.38899,2.05321,0.2058,0.04,0.03269,0.01635,2.36554,4.3288,3.1074,0.001109,0.001109,0.001109
47,3798.73,1.74724,2.29758,2.06313,0.04869,0.04,0.0042,0.0017,2.95847,5.83232,3.76755,0.0010892,0.0010892,0.0010892
48,3879.38,1.70777,2.33968,1.99575,0.34493,0.12,0.10907,0.04627,2.2558,3.88508,2.88012,0.0010694,0.0010694,0.0010694
49,3962.51,1.70616,2.25697,2.0208,0.04573,0.06,0.00972,0.00504,2.65724,5.11052,3.43121,0.0010496,0.0010496,0.0010496
50,4044.17,1.73871,2.31443,2.07662,0.22864,0.06,0.07407,0.03228,2.41415,4.19626,2.98894,0.0010298,0.0010298,0.0010298
51,4122.8,1.69216,2.33495,1.97744,0.35903,0.07855,0.06221,0.02777,2.40489,3.97892,3.05264,0.00101,0.00101,0.00101
52,4204.16,1.66725,2.26158,1.95326,0.10788,0.06,0.03449,0.01801,2.37546,4.34803,3.12617,0.0009902,0.0009902,0.0009902
53,4289.49,1.67017,2.31261,1.96943,0.1492,0.04,0.01238,0.00655,2.58231,4.88463,3.37554,0.0009704,0.0009704,0.0009704
54,4369.03,1.65915,2.27143,2.00637,0.24984,0.05371,0.04791,0.02058,2.51588,4.58992,3.17743,0.0009506,0.0009506,0.0009506
55,4451.91,1.63981,2.28885,1.97402,0.45639,0.08,0.08543,0.03574,2.43326,4.13834,3.09873,0.0009308,0.0009308,0.0009308
56,4528.86,1.74231,2.33108,2.05787,0.42739,0.16,0.14936,0.07158,2.17687,3.50005,2.79669,0.000911,0.000911,0.000911
57,4602.84,1.6729,2.26433,2.01295,0.26076,0.2,0.16051,0.07271,2.24433,3.22578,2.89869,0.0008912,0.0008912,0.0008912
58,4676.91,1.68774,2.23004,1.98267,0.64962,0.14875,0.16285,0.06899,2.18372,3.27386,2.81216,0.0008714,0.0008714,0.0008714
59,4751.65,1.70205,2.19441,2.02416,0.44166,0.31649,0.32092,0.12823,1.95596,2.51997,2.54186,0.0008516,0.0008516,0.0008516
60,4826.2,1.64777,2.17785,1.95054,0.50315,0.14,0.12484,0.05666,2.39759,3.9226,3.15595,0.0008318,0.0008318,0.0008318
61,4901.43,1.73605,2.23311,2.02729,0.55799,0.12,0.12052,0.05439,2.38849,3.7616,3.07447,0.000812,0.000812,0.000812
