epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8899,2.29574,6.16001,2.49109,0.00091,0.17647,0.00056,0.00021,3.00505,366.419,3.38244,0.000665385,0.000665385,0.000665385
2,179.044,2.24614,3.49399,2.53137,0.15452,0.23529,0.06608,0.0219,2.42575,3.99571,3.10791,0.00131886,0.00131886,0.00131886
3,256.596,2.2324,3.52951,2.63038,0.00847,0.61765,0.04515,0.01414,2.27631,3.67355,2.90337,0.00195914,0.00195914,0.00195914
4,334.297,2.11734,3.40415,2.47958,0.23544,0.18129,0.12838,0.03881,2.44157,3.66672,3.09739,0.0019406,0.0019406,0.0019406
5,410.329,2.08306,2.99781,2.40083,0.24181,0.02845,0.01085,0.00439,2.43763,4.9897,3.035,0.0019208,0.0019208,0.0019208
6,487.201,2.05957,2.89012,2.38227,0.0118,0.20588,0.0093,0.00326,2.23649,4.84633,2.86597,0.001901,0.001901,0.001901
7,564.039,2.13104,2.92916,2.50222,0.2075,0.11765,0.09283,0.03387,2.17772,3.21407,2.8556,0.0018812,0.0018812,0.0018812
8,641.366,2.06486,2.86405,2.4523,0.19571,0.1006,0.07629,0.02328,2.28155,3.17248,2.83344,0.0018614,0.0018614,0.0018614
9,720.314,2.05183,2.8089,2.452,0.70035,0.02941,0.04912,0.01589,2.74137,4.85278,3.38195,0.0018416,0.0018416,0.0018416
10,807.897,1.954,2.81257,2.33566,0.5834,0.02941,0.02775,0.00845,2.8039,5.27482,3.60107,0.0018218,0.0018218,0.0018218
11,896.453,2.01836,2.73908,2.39114,0.46826,0.11765,0.16675,0.04597,2.22391,3.37663,2.9242,0.001802,0.001802,0.001802
12,973.133,2.00159,2.71891,2.3534,0.20935,0.14706,0.10512,0.03385,2.26455,2.95926,2.92229,0.0017822,0.0017822,0.0017822
