epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6002,2.32848,3.53676,2.10142,0.0058,0.34545,0.00499,0.00182,2.76537,inf,5.87421,0.00065641,0.00065641,0.00065641
2,31.2166,2.29318,2.59181,2.02019,0.4153,0.14545,0.12006,0.05684,2.44851,4.33175,2.6462,0.00127942,0.00127942,0.00127942
3,43.9129,2.35507,2.5294,2.13857,0.01217,0.49091,0.01172,0.00448,2.40661,44.1963,2.71,0.00185842,0.00185842,0.00185842
4,57.3116,2.25226,2.49505,2.01964,0.34179,0.16364,0.17138,0.06493,2.29801,2.59487,2.20599,0.001802,0.001802,0.001802
5,70.6971,2.27192,2.42549,1.99733,0.31097,0.18182,0.16551,0.0704,2.49191,2.92039,2.43711,0.001736,0.001736,0.001736
6,83.6448,2.17203,2.30368,1.90005,0.32059,0.27273,0.26401,0.11698,2.20986,2.7318,2.10866,0.00167,0.00167,0.00167
7,96.8234,2.12802,2.21862,1.92482,0.41032,0.29091,0.25137,0.11143,2.13769,2.14779,2.12024,0.001604,0.001604,0.001604
8,108.681,2.17857,2.26271,1.92483,0.51314,0.16364,0.2492,0.116,2.207,2.43278,2.11343,0.001538,0.001538,0.001538
9,121.553,2.09245,2.18139,1.81938,0.26933,0.29091,0.26684,0.11141,2.22152,2.39749,2.07819,0.001472,0.001472,0.001472
10,133.562,2.08362,2.11507,1.84208,0.68513,0.27273,0.30376,0.1089,2.20459,2.33033,2.125,0.001406,0.001406,0.001406
11,146.498,2.05555,2.14498,1.80515,0.27227,0.25855,0.25467,0.11247,2.1665,2.43727,2.08037,0.00134,0.00134,0.00134
12,159.25,2.08953,2.16578,1.85085,0.36673,0.30909,0.28813,0.12783,2.18719,2.3373,2.06504,0.001274,0.001274,0.001274
13,171.455,1.94767,2.04554,1.74621,0.44112,0.25455,0.27085,0.11498,2.24496,2.25069,2.10365,0.001208,0.001208,0.001208
14,183.59,1.98027,2.0369,1.75586,0.23576,0.23636,0.2128,0.09516,2.19512,2.56927,2.08003,0.001142,0.001142,0.001142
15,195.142,2.00008,2.05379,1.78402,0.41891,0.30909,0.31044,0.143,2.08511,2.11748,1.99011,0.001076,0.001076,0.001076
16,208.263,1.97485,2.03483,1.74697,0.41949,0.27273,0.28781,0.12835,2.0734,2.27532,1.98339,0.00101,0.00101,0.00101
17,220.781,1.98691,1.97183,1.76481,0.5462,0.25455,0.32234,0.14399,2.04468,2.18627,1.97202,0.000944,0.000944,0.000944
18,232.733,1.94144,1.99055,1.71412,0.38013,0.30909,0.29608,0.1378,1.99888,2.2729,1.97225,0.000878,0.000878,0.000878
19,245.709,1.96252,1.94636,1.68394,0.6443,0.23636,0.3224,0.14574,2.16246,2.20493,2.04475,0.000812,0.000812,0.000812
20,258.055,1.88832,1.91306,1.67552,0.57078,0.30909,0.37035,0.15724,2.14315,2.19614,2.02011,0.000746,0.000746,0.000746
21,271.984,1.88684,1.87174,1.77893,0.43616,0.30909,0.31323,0.13959,2.08139,2.28937,1.93915,0.00068,0.00068,0.00068
22,285.06,1.83731,1.82329,1.70357,0.4207,0.33016,0.29143,0.13524,2.15984,2.29445,2.03129,0.000614,0.000614,0.000614
23,297.703,1.81572,1.80573,1.70091,0.40442,0.29091,0.3105,0.15439,2.12012,2.39447,1.99845,0.000548,0.000548,0.000548
24,310.886,1.77236,1.76332,1.69662,0.39342,0.29091,0.29733,0.14977,2.22183,2.37623,2.06743,0.000482,0.000482,0.000482
25,323.476,1.76943,1.7056,1.68771,0.45352,0.30909,0.31903,0.15831,2.1477,2.32487,2.00926,0.000416,0.000416,0.000416
26,336.328,1.7604,1.72374,1.64847,0.42401,0.38182,0.33543,0.13991,2.21272,2.28183,2.04538,0.00035,0.00035,0.00035
27,349.666,1.74076,1.6829,1.63526,0.46223,0.32727,0.30132,0.12808,2.31442,2.33652,2.13369,0.000284,0.000284,0.000284
28,362.308,1.74788,1.67975,1.64861,0.49284,0.32727,0.34909,0.15633,2.2336,2.2729,2.04274,0.000218,0.000218,0.000218
29,375.808,1.765,1.69019,1.64245,0.61897,0.30909,0.37455,0.16566,2.18514,2.19288,2.01324,0.000152,0.000152,0.000152
30,387.951,1.72354,1.63362,1.61729,0.49553,0.30909,0.34338,0.15733,2.18595,2.24128,2.00469,8.6e-05,8.6e-05,8.6e-05
