epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.2301,2.24005,6.46267,2.41615,0.00442,0.01587,0.00143,0.00037,2.66697,32.3173,3.16874,0.000665292,0.000665292,0.000665292
2,169.473,2.22979,3.7647,2.50049,0.00514,0.12698,0.00165,0.00054,2.79658,77.8269,3.40105,0.00131877,0.00131877,0.00131877
3,243.522,2.18968,3.31394,2.55726,0.01156,0.01587,0.00389,0.00148,2.60328,5.72175,3.32573,0.00195905,0.00195905,0.00195905
4,318.368,2.16168,3.15069,2.47819,0.27279,0.19048,0.1601,0.05656,2.25708,2.81663,2.77482,0.0019406,0.0019406,0.0019406
5,391.645,2.17965,3.10056,2.50843,0.19429,0.25397,0.16151,0.06777,2.30425,2.95024,2.6716,0.0019208,0.0019208,0.0019208
6,465.363,2.1536,3.1663,2.56512,0.1513,0.06349,0.04871,0.01879,2.66554,6.84655,3.0852,0.001901,0.001901,0.001901
7,537.81,2.11403,3.07029,2.50322,0.171,0.19048,0.11881,0.04178,2.20573,3.16495,2.6407,0.0018812,0.0018812,0.0018812
8,611.489,2.04295,2.9498,2.46006,0.25982,0.1746,0.11954,0.04393,2.50602,3.25912,2.91707,0.0018614,0.0018614,0.0018614
9,684.94,2.09103,3.03922,2.44591,0.34507,0.1589,0.13984,0.05695,2.2805,3.11244,2.6262,0.0018416,0.0018416,0.0018416
10,758.241,2.08893,2.90372,2.40944,0.41017,0.04762,0.03831,0.01998,2.46523,4.08649,2.77385,0.0018218,0.0018218,0.0018218
11,829.981,2.02104,2.77351,2.4026,0.54724,0.05812,0.08873,0.04048,2.45617,3.44305,2.82183,0.001802,0.001802,0.001802
12,903.391,2.01981,2.81754,2.4365,0.17665,0.20635,0.16758,0.07863,2.11858,2.73425,2.44764,0.0017822,0.0017822,0.0017822
13,976.421,1.98337,2.71997,2.34895,0.18214,0.1746,0.15229,0.05317,2.1114,2.75341,2.494,0.0017624,0.0017624,0.0017624
14,1048.64,1.98129,2.77301,2.37877,0.26831,0.14286,0.20642,0.09812,2.0068,2.80959,2.40951,0.0017426,0.0017426,0.0017426
15,1121.94,2.04353,2.8303,2.38446,0.29256,0.19048,0.19998,0.08591,2.08675,2.67043,2.50868,0.0017228,0.0017228,0.0017228
16,1194.22,1.87909,2.63232,2.22694,0.23962,0.2381,0.17428,0.07056,2.11881,2.67361,2.54243,0.001703,0.001703,0.001703
17,1268.45,1.93941,2.69955,2.3722,0.29421,0.21841,0.21951,0.09722,2.09872,2.52503,2.54692,0.0016832,0.0016832,0.0016832
18,1340.38,1.89125,2.67514,2.27771,0.32763,0.23981,0.23296,0.11913,2.00841,2.55531,2.42081,0.0016634,0.0016634,0.0016634
19,1422.47,1.83393,2.61159,2.22919,0.36239,0.16249,0.17909,0.08447,2.14117,2.81696,2.54474,0.0016436,0.0016436,0.0016436
20,1495.14,1.86063,2.70007,2.25317,0.52551,0.14075,0.19702,0.09373,2.1672,3.03068,2.56723,0.0016238,0.0016238,0.0016238
21,1568.82,1.90245,2.65176,2.29329,0.36827,0.31746,0.25054,0.11396,2.06095,2.80185,2.51028,0.001604,0.001604,0.001604
22,1641.37,1.86693,2.63834,2.2496,0.18307,0.11111,0.08275,0.03993,2.47664,3.60445,2.87075,0.0015842,0.0015842,0.0015842
23,1714.2,1.87027,2.60027,2.23273,0.54433,0.11111,0.10461,0.05378,2.12152,3.99517,2.47283,0.0015644,0.0015644,0.0015644
24,1798.44,1.93165,2.69233,2.27706,0.28233,0.07937,0.05693,0.03173,2.54254,3.33854,3.0681,0.0015446,0.0015446,0.0015446
25,1882.32,1.82931,2.60125,2.22139,0.25456,0.15873,0.13986,0.07345,2.16101,3.21018,2.62443,0.0015248,0.0015248,0.0015248
26,1957.29,1.90122,2.6655,2.26554,0.00852,0.06349,0.00426,0.00158,2.82763,4.86359,3.36788,0.001505,0.001505,0.001505
27,2029.44,1.84495,2.5848,2.16882,0.29298,0.31746,0.20085,0.08519,2.05226,2.50404,2.40569,0.0014852,0.0014852,0.0014852
28,2103.94,1.8629,2.55968,2.22051,0.30651,0.26984,0.24114,0.1097,2.06835,2.54323,2.43022,0.0014654,0.0014654,0.0014654
29,2178.07,1.83179,2.55263,2.21464,0.22002,0.07937,0.06922,0.04014,2.6694,3.89258,3.19843,0.0014456,0.0014456,0.0014456
30,2251.8,1.91056,2.60134,2.25838,0.20929,0.12698,0.10348,0.04333,2.2599,3.08517,2.73325,0.0014258,0.0014258,0.0014258
31,2328.17,1.81934,2.56294,2.16352,0.40256,0.31746,0.28364,0.13446,2.04331,2.37186,2.39681,0.001406,0.001406,0.001406
