epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8611,2.29517,3.35512,2.13061,0.00357,0.28571,0.00253,0.0013,2.21581,188.584,3.20595,0.000655738,0.000655738,0.000655738
2,32.8154,2.38799,2.71872,2.19756,0.41313,0.15873,0.15768,0.05541,2.34812,3.78339,2.30033,0.00127877,0.00127877,0.00127877
3,47.2739,2.36095,2.5496,2.19722,0.33574,0.32096,0.25341,0.1023,2.32313,2.48698,2.24546,0.00185779,0.00185779,0.00185779
4,61.6014,2.28852,2.45765,2.08831,0.39838,0.38095,0.27676,0.10723,2.22334,3.09875,2.19609,0.001802,0.001802,0.001802
5,75.7107,2.2869,2.37902,2.12965,0.40862,0.31746,0.28807,0.10099,2.22785,2.32838,2.07874,0.001736,0.001736,0.001736
6,88.8453,2.2379,2.34598,2.04511,0.33871,0.26984,0.23838,0.08114,2.32607,2.29005,2.05655,0.00167,0.00167,0.00167
7,102.638,2.24591,2.32148,2.01336,0.49781,0.25397,0.29567,0.09739,2.26502,2.11306,1.9748,0.001604,0.001604,0.001604
8,116.488,2.17667,2.22707,1.97617,0.34403,0.38095,0.27291,0.11865,2.26077,2.2069,1.99605,0.001538,0.001538,0.001538
9,131.029,2.16615,2.28129,1.97841,0.3458,0.39683,0.30105,0.13405,2.09329,2.14835,1.87228,0.001472,0.001472,0.001472
10,145.052,2.09296,2.13115,1.92092,0.2904,0.31746,0.29888,0.13069,2.17252,2.05169,1.92734,0.001406,0.001406,0.001406
11,157.997,2.09868,2.20165,1.92521,0.38411,0.34921,0.32135,0.13301,2.10265,2.13975,1.89411,0.00134,0.00134,0.00134
12,171.844,2.06206,2.16986,1.91107,0.32624,0.41506,0.32261,0.12881,2.13155,2.0078,1.90499,0.001274,0.001274,0.001274
13,184.63,2.05121,2.15673,1.87212,0.41785,0.28571,0.31451,0.12888,2.10588,2.10278,1.88328,0.001208,0.001208,0.001208
14,198.233,2.08214,2.15397,1.86423,0.49263,0.33333,0.32076,0.14266,2.06752,1.99549,1.83963,0.001142,0.001142,0.001142
15,212.006,1.98032,2.07765,1.80052,0.36796,0.33333,0.29572,0.13948,2.13943,2.01545,1.90401,0.001076,0.001076,0.001076
16,224.484,1.94621,2.02433,1.77242,0.38295,0.30544,0.29525,0.12887,2.17049,2.10423,1.94815,0.00101,0.00101,0.00101
17,238.283,2.02378,2.10467,1.87233,0.43905,0.34921,0.3326,0.14935,2.15489,1.99571,1.88325,0.000944,0.000944,0.000944
18,252.156,1.96903,2.02707,1.78748,0.41318,0.33333,0.34889,0.14094,2.20593,2.02572,1.91354,0.000878,0.000878,0.000878
19,265.431,1.95227,1.98991,1.79825,0.41336,0.30159,0.3292,0.14576,2.17443,2.08436,1.86821,0.000812,0.000812,0.000812
20,279.582,1.95001,1.99417,1.7487,0.36203,0.36508,0.32356,0.14571,2.15823,2.00413,1.88815,0.000746,0.000746,0.000746
21,294.138,1.89883,1.93165,1.82936,0.55126,0.33333,0.32238,0.14829,2.10972,2.15899,1.82824,0.00068,0.00068,0.00068
22,306.728,1.90312,1.96509,1.85704,0.45393,0.34921,0.34324,0.16129,2.11386,2.11871,1.83279,0.000614,0.000614,0.000614
23,320.346,1.86833,1.90442,1.82169,0.59266,0.25397,0.371,0.14216,2.11139,2.06517,1.82426,0.000548,0.000548,0.000548
24,334.301,1.84869,1.88661,1.8023,0.47756,0.34921,0.35368,0.15298,2.08858,2.04325,1.81035,0.000482,0.000482,0.000482
25,347.637,1.82036,1.83376,1.76091,0.50809,0.37714,0.35057,0.14958,2.1047,2.10084,1.83909,0.000416,0.000416,0.000416
26,360.557,1.79174,1.816,1.75541,0.54519,0.38095,0.3817,0.17544,2.08915,2.10688,1.83423,0.00035,0.00035,0.00035
27,373.695,1.73814,1.70252,1.70478,0.5002,0.36508,0.37403,0.15711,2.10619,2.04158,1.82422,0.000284,0.000284,0.000284
28,387.906,1.78543,1.76766,1.71945,0.51514,0.39683,0.37518,0.16506,2.07469,2.02654,1.83124,0.000218,0.000218,0.000218
29,401.773,1.75138,1.72609,1.7114,0.46443,0.36508,0.37706,0.17245,2.09297,2.06897,1.83561,0.000152,0.000152,0.000152
30,415.301,1.72318,1.66668,1.70178,0.53151,0.36025,0.37288,0.16885,2.09472,2.12347,1.83246,8.6e-05,8.6e-05,8.6e-05
